Model,Data Type,F1-Score,G-Mean,AUC
SVM (RBF),Original,0.6286303995282323,0.6311634866964149,0.8466666666666667
SVM (RBF),Synthetic,0.6286303995282323,0.6311634866964149,0.8566666666666667
Decision Tree,Original,0.46012367211035354,0.504402387690109,0.5616666666666666
Decision Tree,Synthetic,0.6057142857142856,0.606372059737198,0.565
Random Forest,Original,0.6714285714285714,0.6649638116080447,0.7549999999999999
Random Forest,Synthetic,0.7489177489177489,0.7323431781700742,0.7749999999999999
KNN,Original,0.5606060606060607,0.5567764362830021,0.5933333333333333
KNN,Synthetic,0.5606060606060607,0.5567764362830021,0.5983333333333333
LightGBM,Original,0.6717460317460318,0.6577636818983622,0.6550000000000001
LightGBM,Synthetic,0.6233766233766235,0.6153368636627525,0.7083333333333333
XGBoost,Original,0.6472303206997084,0.6401530429259451,0.6349999999999999
XGBoost,Synthetic,0.6233766233766235,0.6153368636627525,0.6883333333333332
